path	name	ext	bucket	duration_seconds	sample_rate	channels	bpm	size_bytes	modified_epoch
slices/drums_free_royalty_free_drum_breaks_percussion_loops_raw_rhythms_boom_bap_hip_hop_old_school_lofi_amvyznkhasg.oversliced.20260710-184119/slice_03n564.wav	slice_03n564.wav	wav	drums	0.04	44100	2		7600	1783718291
slices/drums_free_royalty_free_drum_breaks_percussion_loops_raw_rhythms_boom_bap_hip_hop_old_school_lofi_amvyznkhasg.oversliced.20260710-184119/slice_03n565.wav	slice_03n565.wav	wav	drums	0.10	44100	2		17256	1783718291
slices/drums_free_royalty_free_drum_breaks_percussion_loops_raw_rhythms_boom_bap_hip_hop_old_school_lofi_amvyznkhasg.oversliced.20260710-184119/slice_03n566.wav	slice_03n566.wav	wav	drums	0.09	44100	2		16792	1783718291
slices/drums_free_royalty_free_drum_breaks_percussion_loops_raw_rhythms_boom_bap_hip_hop_old_school_lofi_amvyznkhasg.oversliced.20260710-184119/slice_03n568.wav	slice_03n568.wav	wav	drums	0.42	44100	2		73924	1783718291
slices/drums_free_royalty_free_drum_breaks_percussion_loops_raw_rhythms_boom_bap_hip_hop_old_school_lofi_amvyznkhasg.oversliced.20260710-184119/slice_03n569.wav	slice_03n569.wav	wav	drums	0.41	44100	2		72528	1783718291
slices/drums_free_royalty_free_drum_breaks_percussion_loops_raw_rhythms_boom_bap_hip_hop_old_school_lofi_amvyznkhasg.oversliced.20260710-184119/slice_03n570.wav	slice_03n570.wav	wav	drums	0.10	44100	2		16932	1783718291
slices/drums_free_royalty_free_drum_breaks_percussion_loops_raw_rhythms_boom_bap_hip_hop_old_school_lofi_amvyznkhasg.oversliced.20260710-184119/slice_03n571.wav	slice_03n571.wav	wav	drums	0.07	44100	2		12340	1783718291
slices/drums_free_royalty_free_drum_breaks_percussion_loops_raw_rhythms_boom_bap_hip_hop_old_school_lofi_amvyznkhasg.oversliced.20260710-184119/slice_03n572.wav	slice_03n572.wav	wav	drums	0.10	44100	2		17996	1783718291
slices/drums_free_royalty_free_drum_breaks_percussion_loops_raw_rhythms_boom_bap_hip_hop_old_school_lofi_amvyznkhasg.oversliced.20260710-184119/slice_03n573.wav	slice_03n573.wav	wav	drums	0.04	44100	2		7612	1783718291
slices/drums_free_royalty_free_drum_breaks_percussion_loops_raw_rhythms_boom_bap_hip_hop_old_school_lofi_amvyznkhasg.oversliced.20260710-184119/slice_03n574.wav	slice_03n574.wav	wav	drums	0.06	44100	2		11380	1783718291
slices/drums_free_royalty_free_drum_breaks_percussion_loops_raw_rhythms_boom_bap_hip_hop_old_school_lofi_amvyznkhasg.oversliced.20260710-184119/slice_03n575.wav	slice_03n575.wav	wav	drums	0.23	44100	2		39964	1783718291
slices/drums_free_royalty_free_drum_breaks_percussion_loops_raw_rhythms_boom_bap_hip_hop_old_school_lofi_amvyznkhasg.oversliced.20260710-184119/slice_03n577.wav	slice_03n577.wav	wav	drums	0.07	44100	2		11788	1783718291
slices/drums_free_royalty_free_drum_breaks_percussion_loops_raw_rhythms_boom_bap_hip_hop_old_school_lofi_amvyznkhasg.oversliced.20260710-184119/slice_03n578.wav	slice_03n578.wav	wav	drums	0.22	44100	2		39612	1783718291
slices/drums_free_royalty_free_drum_breaks_percussion_loops_raw_rhythms_boom_bap_hip_hop_old_school_lofi_amvyznkhasg.oversliced.20260710-184119/slice_03n580.wav	slice_03n580.wav	wav	drums	0.25	44100	2		44008	1783718291
slices/drums_free_royalty_free_drum_breaks_percussion_loops_raw_rhythms_boom_bap_hip_hop_old_school_lofi_amvyznkhasg.oversliced.20260710-184119/slice_03n581.wav	slice_03n581.wav	wav	drums	0.40	44100	2		70040	1783718291
slices/drums_free_royalty_free_drum_breaks_percussion_loops_raw_rhythms_boom_bap_hip_hop_old_school_lofi_amvyznkhasg.oversliced.20260710-184119/slice_03n583.wav	slice_03n583.wav	wav	drums	0.07	44100	2		11744	1783718291
slices/drums_free_royalty_free_drum_breaks_percussion_loops_raw_rhythms_boom_bap_hip_hop_old_school_lofi_amvyznkhasg.oversliced.20260710-184119/slice_03n585.wav	slice_03n585.wav	wav	drums	0.22	44100	2		38852	1783718291
slices/drums_free_royalty_free_drum_breaks_percussion_loops_raw_rhythms_boom_bap_hip_hop_old_school_lofi_amvyznkhasg.oversliced.20260710-184119/slice_03n586.wav	slice_03n586.wav	wav	drums	0.21	44100	2		37692	1783718291
slices/drums_free_royalty_free_drum_breaks_percussion_loops_raw_rhythms_boom_bap_hip_hop_old_school_lofi_amvyznkhasg.oversliced.20260710-184119/slice_03n587.wav	slice_03n587.wav	wav	drums	0.07	44100	2		11536	1783718291
slices/drums_free_royalty_free_drum_breaks_percussion_loops_raw_rhythms_boom_bap_hip_hop_old_school_lofi_amvyznkhasg.oversliced.20260710-184119/slice_03n588.wav	slice_03n588.wav	wav	drums	0.10	44100	2		17172	1783718291
slices/drums_free_royalty_free_drum_breaks_percussion_loops_raw_rhythms_boom_bap_hip_hop_old_school_lofi_amvyznkhasg.oversliced.20260710-184119/slice_03n590.wav	slice_03n590.wav	wav	drums	0.07	44100	2		12272	1783718291
slices/drums_free_royalty_free_drum_breaks_percussion_loops_raw_rhythms_boom_bap_hip_hop_old_school_lofi_amvyznkhasg.oversliced.20260710-184119/slice_03n591.wav	slice_03n591.wav	wav	drums	0.22	44100	2		39024	1783718291
slices/drums_free_royalty_free_drum_breaks_percussion_loops_raw_rhythms_boom_bap_hip_hop_old_school_lofi_amvyznkhasg.oversliced.20260710-184119/slice_03n592.wav	slice_03n592.wav	wav	drums	0.21	44100	2		36852	1783718291
slices/drums_free_royalty_free_drum_breaks_percussion_loops_raw_rhythms_boom_bap_hip_hop_old_school_lofi_amvyznkhasg.oversliced.20260710-184119/slice_03n593.wav	slice_03n593.wav	wav	drums	0.24	44100	2		43196	1783718291
slices/drums_free_royalty_free_drum_breaks_percussion_loops_raw_rhythms_boom_bap_hip_hop_old_school_lofi_amvyznkhasg.oversliced.20260710-184119/slice_03n594.wav	slice_03n594.wav	wav	drums	0.40	44100	2		70176	1783718291
slices/drums_free_royalty_free_drum_breaks_percussion_loops_raw_rhythms_boom_bap_hip_hop_old_school_lofi_amvyznkhasg.oversliced.20260710-184119/slice_03n595.wav	slice_03n595.wav	wav	drums	0.04	44100	2		7484	1783718291
slices/drums_free_royalty_free_drum_breaks_percussion_loops_raw_rhythms_boom_bap_hip_hop_old_school_lofi_amvyznkhasg.oversliced.20260710-184119/slice_03n596.wav	slice_03n596.wav	wav	drums	0.36	44100	2		64020	1783718291
slices/drums_free_royalty_free_drum_breaks_percussion_loops_raw_rhythms_boom_bap_hip_hop_old_school_lofi_amvyznkhasg/slice_03n001.wav	slice_03n001.wav	wav	drums	0.78	44100	2		138228	1783747895
slices/drums_free_royalty_free_drum_breaks_percussion_loops_raw_rhythms_boom_bap_hip_hop_old_school_lofi_amvyznkhasg/slice_03n002.wav	slice_03n002.wav	wav	drums	0.43	44100	2		75448	1783747895
slices/drums_free_royalty_free_drum_breaks_percussion_loops_raw_rhythms_boom_bap_hip_hop_old_school_lofi_amvyznkhasg/slice_03n003.wav	slice_03n003.wav	wav	drums	1.02	44100	2		180604	1783747895
slices/drums_free_royalty_free_drum_breaks_percussion_loops_raw_rhythms_boom_bap_hip_hop_old_school_lofi_amvyznkhasg/slice_03n004.wav	slice_03n004.wav	wav	drums	0.84	44100	2		148044	1783747895
slices/drums_free_royalty_free_drum_breaks_percussion_loops_raw_rhythms_boom_bap_hip_hop_old_school_lofi_amvyznkhasg/slice_03n005.wav	slice_03n005.wav	wav	drums	0.43	44100	2		75016	1783747895
slices/drums_free_royalty_free_drum_breaks_percussion_loops_raw_rhythms_boom_bap_hip_hop_old_school_lofi_amvyznkhasg/slice_03n006.wav	slice_03n006.wav	wav	drums	1.02	44100	2		180416	1783747895
slices/drums_free_royalty_free_drum_breaks_percussion_loops_raw_rhythms_boom_bap_hip_hop_old_school_lofi_amvyznkhasg/slice_03n007.wav	slice_03n007.wav	wav	drums	0.83	44100	2		146172	1783747895
slices/drums_free_royalty_free_drum_breaks_percussion_loops_raw_rhythms_boom_bap_hip_hop_old_school_lofi_amvyznkhasg/slice_03n008.wav	slice_03n008.wav	wav	drums	0.43	44100	2		75328	1783747895
slices/drums_free_royalty_free_drum_breaks_percussion_loops_raw_rhythms_boom_bap_hip_hop_old_school_lofi_amvyznkhasg/slice_03n009.wav	slice_03n009.wav	wav	drums	1.01	44100	2		177748	1783747895
slices/drums_free_royalty_free_drum_breaks_percussion_loops_raw_rhythms_boom_bap_hip_hop_old_school_lofi_amvyznkhasg/slice_03n010.wav	slice_03n010.wav	wav	drums	0.84	44100	2		147760	1783747895
slices/drums_free_royalty_free_drum_breaks_percussion_loops_raw_rhythms_boom_bap_hip_hop_old_school_lofi_amvyznkhasg/slice_03n011.wav	slice_03n011.wav	wav	drums	0.43	44100	2		76628	1783747895
slices/drums_free_royalty_free_drum_breaks_percussion_loops_raw_rhythms_boom_bap_hip_hop_old_school_lofi_amvyznkhasg/slice_03n012.wav	slice_03n012.wav	wav	drums	4.20	44100	2		741480	1783747895
slices/drums_free_royalty_free_drum_breaks_percussion_loops_raw_rhythms_boom_bap_hip_hop_old_school_lofi_amvyznkhasg/slice_03n013.wav	slice_03n013.wav	wav	drums	3.00	44100	2		529940	1783747895
slices/drums_free_royalty_free_drum_breaks_percussion_loops_raw_rhythms_boom_bap_hip_hop_old_school_lofi_amvyznkhasg/slice_03n014.wav	slice_03n014.wav	wav	drums	0.09	44100	2		15220	1783747895
slices/drums_free_royalty_free_drum_breaks_percussion_loops_raw_rhythms_boom_bap_hip_hop_old_school_lofi_amvyznkhasg/slice_03n015.wav	slice_03n015.wav	wav	drums	0.26	44100	2		45688	1783747895
slices/drums_free_royalty_free_drum_breaks_percussion_loops_raw_rhythms_boom_bap_hip_hop_old_school_lofi_amvyznkhasg/slice_03n016.wav	slice_03n016.wav	wav	drums	0.10	44100	2		16932	1783747895
slices/drums_free_royalty_free_drum_breaks_percussion_loops_raw_rhythms_boom_bap_hip_hop_old_school_lofi_amvyznkhasg/slice_03n017.wav	slice_03n017.wav	wav	drums	0.56	44100	2		98980	1783747895
slices/drums_free_royalty_free_drum_breaks_percussion_loops_raw_rhythms_boom_bap_hip_hop_old_school_lofi_amvyznkhasg/slice_03n018.wav	slice_03n018.wav	wav	drums	0.28	44100	2		49428	1783747895
slices/drums_free_royalty_free_drum_breaks_percussion_loops_raw_rhythms_boom_bap_hip_hop_old_school_lofi_amvyznkhasg/slice_03n019.wav	slice_03n019.wav	wav	drums	0.10	44100	2		17944	1783747895
slices/drums_free_royalty_free_drum_breaks_percussion_loops_raw_rhythms_boom_bap_hip_hop_old_school_lofi_amvyznkhasg/slice_03n020.wav	slice_03n020.wav	wav	drums	0.10	44100	2		17560	1783747895
slices/drums_free_royalty_free_drum_breaks_percussion_loops_raw_rhythms_boom_bap_hip_hop_old_school_lofi_amvyznkhasg/slice_03n021.wav	slice_03n021.wav	wav	drums	0.56	44100	2		98556	1783747895
slices/drums_free_royalty_free_drum_breaks_percussion_loops_raw_rhythms_boom_bap_hip_hop_old_school_lofi_amvyznkhasg/slice_03n022.wav	slice_03n022.wav	wav	drums	0.28	44100	2		49872	1783747895
slices/drums_free_royalty_free_drum_breaks_percussion_loops_raw_rhythms_boom_bap_hip_hop_old_school_lofi_amvyznkhasg/slice_03n024.wav	slice_03n024.wav	wav	drums	0.10	44100	2		17304	1783747895
slices/drums_free_royalty_free_drum_breaks_percussion_loops_raw_rhythms_boom_bap_hip_hop_old_school_lofi_amvyznkhasg/slice_03n025.wav	slice_03n025.wav	wav	drums	0.10	44100	2		17636	1783747895
slices/drums_free_royalty_free_drum_breaks_percussion_loops_raw_rhythms_boom_bap_hip_hop_old_school_lofi_amvyznkhasg/slice_03n026.wav	slice_03n026.wav	wav	drums	0.56	44100	2		98560	1783747895
slices/drums_free_royalty_free_drum_breaks_percussion_loops_raw_rhythms_boom_bap_hip_hop_old_school_lofi_amvyznkhasg/slice_03n027.wav	slice_03n027.wav	wav	drums	0.28	44100	2		49708	1783747895
slices/drums_free_royalty_free_drum_breaks_percussion_loops_raw_rhythms_boom_bap_hip_hop_old_school_lofi_amvyznkhasg/slice_03n028.wav	slice_03n028.wav	wav	drums	0.08	44100	2		13536	1783747895
slices/drums_free_royalty_free_drum_breaks_percussion_loops_raw_rhythms_boom_bap_hip_hop_old_school_lofi_amvyznkhasg/slice_03n029.wav	slice_03n029.wav	wav	drums	0.10	44100	2		17036	1783747895
slices/drums_free_royalty_free_drum_breaks_percussion_loops_raw_rhythms_boom_bap_hip_hop_old_school_lofi_amvyznkhasg/slice_03n030.wav	slice_03n030.wav	wav	drums	0.10	44100	2		17256	1783747895
slices/drums_free_royalty_free_drum_breaks_percussion_loops_raw_rhythms_boom_bap_hip_hop_old_school_lofi_amvyznkhasg/slice_03n031.wav	slice_03n031.wav	wav	drums	0.56	44100	2		98404	1783747895
slices/drums_free_royalty_free_drum_breaks_percussion_loops_raw_rhythms_boom_bap_hip_hop_old_school_lofi_amvyznkhasg/slice_03n032.wav	slice_03n032.wav	wav	drums	0.09	44100	2		15700	1783747895
slices/drums_free_royalty_free_drum_breaks_percussion_loops_raw_rhythms_boom_bap_hip_hop_old_school_lofi_amvyznkhasg/slice_03n033.wav	slice_03n033.wav	wav	drums	0.28	44100	2		49560	1783747895
slices/drums_free_royalty_free_drum_breaks_percussion_loops_raw_rhythms_boom_bap_hip_hop_old_school_lofi_amvyznkhasg/slice_03n034.wav	slice_03n034.wav	wav	drums	0.08	44100	2		14980	1783747895
slices/drums_free_royalty_free_drum_breaks_percussion_loops_raw_rhythms_boom_bap_hip_hop_old_school_lofi_amvyznkhasg/slice_03n035.wav	slice_03n035.wav	wav	drums	0.42	44100	2		73492	1783747895
slices/drums_free_royalty_free_drum_breaks_percussion_loops_raw_rhythms_boom_bap_hip_hop_old_school_lofi_amvyznkhasg/slice_03n036.wav	slice_03n036.wav	wav	drums	0.11	44100	2		19516	1783747895
slices/drums_free_royalty_free_drum_breaks_percussion_loops_raw_rhythms_boom_bap_hip_hop_old_school_lofi_amvyznkhasg/slice_03n037.wav	slice_03n037.wav	wav	drums	0.49	44100	2		86044	1783747895
slices/drums_free_royalty_free_drum_breaks_percussion_loops_raw_rhythms_boom_bap_hip_hop_old_school_lofi_amvyznkhasg/slice_03n038.wav	slice_03n038.wav	wav	drums	0.50	44100	2		88348	1783747895
slices/drums_free_royalty_free_drum_breaks_percussion_loops_raw_rhythms_boom_bap_hip_hop_old_school_lofi_amvyznkhasg/slice_03n039.wav	slice_03n039.wav	wav	drums	0.07	44100	2		12340	1783747895
slices/drums_free_royalty_free_drum_breaks_percussion_loops_raw_rhythms_boom_bap_hip_hop_old_school_lofi_amvyznkhasg/slice_03n040.wav	slice_03n040.wav	wav	drums	0.90	44100	2		159644	1783747895
slices/drums_free_royalty_free_drum_breaks_percussion_loops_raw_rhythms_boom_bap_hip_hop_old_school_lofi_amvyznkhasg/slice_03n041.wav	slice_03n041.wav	wav	drums	0.49	44100	2		87212	1783747895
slices/drums_free_royalty_free_drum_breaks_percussion_loops_raw_rhythms_boom_bap_hip_hop_old_school_lofi_amvyznkhasg/slice_03n042.wav	slice_03n042.wav	wav	drums	0.50	44100	2		87948	1783747895
